,artist,attack,cardId,cardSet,collectible,cost,dbfId,durability,faction,flavor,health,howToGet,howToGetGold,img,imgGold,locale,mechanics,name,playerClass,race,rarity,text,type,elite,classes,multiClassGroup,armor
42,,,HERO_06,Basic,True,,274,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_06.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_06_premium.gif,enUS,,Malfurion Stormrage,Druid,,Free,,Hero,,,,
43,,,CS2_009e,Basic,,,207,,,,,,,,,enUS,,Mark of the Wild,Druid,,,+2/+2 and <b>Taunt</b>.,Enchantment,,,,
44,,,DS1_070o,Basic,,,722,,,,,,,,,enUS,,Master's Presence,Hunter,,,+2/+2 and <b>Taunt</b>.,Enchantment,,,,
45,,,CS2_222o,Basic,,,240,,,,,,,,,enUS,,Might of Stormwind,Neutral,,,Has +1/+1.,Enchantment,,,,
46,,,EX1_508o,Basic,,,729,,,,,,,,,enUS,,Mlarggragllabl!,Neutral,,,This Murloc has +1 Attack.,Enchantment,,,,
47,,,BCON_008e,Basic,,,50131,,,,,,,,,enUS,,Nature's Champion,Neutral,,,+5/+5.,Enchantment,,,,
48,,,CS2_022e,Basic,,,130,,Neutral,,,,,,,enUS,[{'name': 'Morph'}],Polymorph,Mage,,Common,This minion has been transformed into a 1/1 Sheep.,Enchantment,,,,
49,,,CS2_004e,Basic,,,591,,,,,,,,,enUS,,Power Word: Shield,Priest,,,+2 Health.,Enchantment,,,,
50,,,HERO_05,Basic,True,,31,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_05.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_05_premium.gif,enUS,,Rexxar,Hunter,,Free,,Hero,,,,
51,,,CS2_045e,Basic,,,1102,,,,,,,,,enUS,[{'name': 'OneTurnEffect'}],Rockbiter Weapon,Shaman,,,This character has +3 Attack this turn.,Enchantment,,,,
52,,,CS2_011o,Basic,,,789,,,,,,,,,enUS,[{'name': 'OneTurnEffect'}],Savage Roar,Druid,,,+2 Attack this turn.,Enchantment,,,,
53,,,CS2_083e,Basic,,,1644,,,,,,,,,enUS,[{'name': 'OneTurnEffect'}],Sharpened,Rogue,,,+1 Attack this turn.,Enchantment,,,,
54,,,BCON_016e,Basic,,,50133,,,,,,,,,enUS,,Smoke Bombed,Rogue,,,Stealthed until your next turn.,Enchantment,,,,
55,,,GAME_005e,Basic,,,1747,,,,,,,,,enUS,,The Coin,Neutral,,,,Enchantment,,,,
56,,,HERO_02,Basic,True,,1066,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_02.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_02_premium.gif,enUS,,Thrall,Shaman,,Free,,Hero,,,,
57,,,EX1_244e,Basic,,,294,,,,,,,,,enUS,,Totemic Might,Shaman,,,+2 Health.,Enchantment,,,,
58,,,GAME_011,Basic,,,49472,,,,,,,,,enUS,,Tournament Short Turn,Neutral,,,Your turns are shorter.,Enchantment,,,,
59,,,HERO_04,Basic,True,,671,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_04.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_04_premium.gif,enUS,,Uther Lightbringer,Paladin,,Free,,Hero,,,,
60,,,HERO_03,Basic,True,,930,,Neutral,,30.0,,,http://media.services.zam.com/v1/media/byName/hs/cards/enus/HERO_03.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/HERO_03_premium.gif,enUS,,Valeera Sanguinar,Rogue,,Free,,Hero,,,,
61,Dan Scott,,CS2_041,Basic,True,0.0,149,,Neutral,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_041.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_041_premium.gif,enUS,[{'name': 'Taunt'}],Ancestral Healing,Shaman,,Free,Restore a minion\nto full Health and\ngive it <b>Taunt</b>.,Spell,,,,
62,,1.0,GAME_002,Basic,,0.0,1733,,,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/GAME_002.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/GAME_002_premium.gif,enUS,,Avatar of the Coin,Neutral,,Free,"<i>You lost the coin flip, but gained a friend.</i>",Minion,,,,
63,Michael Sutfin,,CS2_072,Basic,True,0.0,180,,Neutral,"It's funny how often yelling ""Look over there!"" gets your opponent to turn around.",,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_072.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_072_premium.gif,enUS,,Backstab,Rogue,,Free,Deal $2 damage to an undamaged minion.,Spell,,,,
64,,,BCON_024,Basic,,0.0,49249,,,,,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/BCON_024.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/BCON_024_premium.gif,enUS,,Bottled Madness,Warlock,,Free,Replace your hand with random Demons.,Spell,,,,
65,,,BCON_021,Basic,,0.0,49246,,,,,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/BCON_021.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/BCON_021_premium.gif,enUS,[{'name': 'Overload'}],Crackling Doom,Shaman,,Free,Deal $12 damage to all_minions.\n<b>Overload</b>: (10),Spell,,,,
66,,,CS2_013t,Basic,,0.0,1725,,,,,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_013t.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_013t_premium.gif,enUS,,Excess Mana,Druid,,,Draw a card. <i>(You can only have 10 Mana in your tray.)</i>,Spell,,,,
67,Doug Alexander,,EX1_169,Basic,True,0.0,254,,Neutral,"Some druids still have flashbacks from strangers yelling ""Innervate me!!"" at them.",,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_169.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_169_premium.gif,enUS,,Innervate,Druid,,Free,Gain 1 Mana Crystal this turn only.,Spell,,,,
68,,0.0,CS2_mirror,Basic,,0.0,968,,Neutral,,2.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_mirror.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_mirror_premium.gif,enUS,[{'name': 'Taunt'}],Mirror Image,Mage,,Common,<b>Taunt</b>,Minion,,,,
69,Richard Wright,,CS2_008,Basic,True,0.0,467,,Neutral,"""Cast Moonfire, and never stop."" - How to Be a Druid, Chapter 5, Section 3",,Unlocked at Level 6.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_008.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_008_premium.gif,enUS,,Moonfire,Druid,,Free,Deal $1 damage.,Spell,,,,
70,Jim Nelson,,NEW1_003,Basic,True,0.0,163,,,This is the reason that Demons never really become friends with Warlocks.,,Unlocked at Level 8.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/NEW1_003.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/NEW1_003_premium.gif,enUS,,Sacrificial Pact,Warlock,,Free,Destroy a Demon. Restore #5 Health to your hero.,Spell,,,,
71,,,GAME_005,Basic,,0.0,1746,,,,,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/GAME_005.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/GAME_005_premium.gif,enUS,,The Coin,Neutral,,,Gain 1 Mana Crystal this turn only.,Spell,,,,
72,Trent Kaniuga,,EX1_244,Basic,True,0.0,830,,Neutral,Totem-stomping is no longer recommended.,,Unlocked at Level 6.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_244.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_244_premium.gif,enUS,,Totemic Might,Shaman,,Free,Give your Totems +2_Health.,Spell,,,,
73,Warren Mahy,,EX1_277,Basic,True,1.0,564,,Neutral,You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.,,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_277.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_277_premium.gif,enUS,[{'name': 'ImmuneToSpellpower'}],Arcane Missiles,Mage,,Free,Deal $3 damage randomly split among all enemies.,Spell,,,,
74,Luca Zontini,,DS1_185,Basic,True,1.0,877,,Neutral,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.",,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_185.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_185_premium.gif,enUS,,Arcane Shot,Hunter,,Free,Deal $2 damage.,Spell,,,,
75,Zoltan Boros,,CS2_087,Basic,True,1.0,70,,Neutral,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.",,Unlocked at Level 1.,Unlocked at Level 45.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_087.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_087_premium.gif,enUS,,Blessing of Might,Paladin,,Free,Give a minion +3_Attack.,Spell,,,,
76,,1.0,CS2_boar,Basic,,1.0,298,,Neutral,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_boar.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_boar_premium.gif,enUS,,Boar,Neutral,Beast,Common,,Minion,,,,
77,Alex Horley Orlandelli,,CS2_103,Basic,True,1.0,344,,Neutral,"""Guys! Guys! Slow down!"" - some kind of non-warrior minion",,Unlocked at Level 1.,Unlocked at Level 23.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_103.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_103_premium.gif,enUS,[{'name': 'Charge'}],Charge,Warrior,,Free,Give a friendly minion <b>Charge</b>. It can't attack heroes this turn.,Spell,,,,
78,Dany Orizio,,CS2_005,Basic,True,1.0,1050,,Neutral,The claw decides who will stay and who will go.,,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_005.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_005_premium.gif,enUS,,Claw,Druid,,Free,Give your hero +2_Attack this turn. Gain 2 Armor.,Spell,,,,
79,Wayne Reynolds,,CS2_063,Basic,True,1.0,982,,Neutral,"It starts with stealing a pen from work, and before you know it, BOOOM!  Corrupted!",,Unlocked at Level 2.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_063.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_063_premium.gif,enUS,,Corruption,Warlock,,Free,"Choose an enemy minion. At the start of your turn, destroy it.",Spell,,,,
80,Trevor Jacobs,,CS2_074,Basic,True,1.0,459,,Neutral,"Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.",,Unlocked at Level 1.,Unlocked at Level 43.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_074.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_074_premium.gif,enUS,,Deadly Poison,Rogue,,Free,Give your weapon +2_Attack.,Spell,,,,
81,Steve Prescott,1.0,CS2_189,Basic,True,1.0,389,,Horde,Don't bother asking her out on a date.  She'll shoot you down.,1.0,,Unlocked at Druid Level 57.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_189.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_189_premium.gif,enUS,[{'name': 'Battlecry'}],Elven Archer,Neutral,,Free,<b>Battlecry:</b> Deal 1 damage.,Minion,,,,
82,Alex Horley Orlandelli,,CS2_037,Basic,True,1.0,971,,Neutral,FROST SHOCK!,,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_037.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_037_premium.gif,enUS,[{'name': 'Freeze'}],Frost Shock,Shaman,,Free,Deal $1 damage to an enemy character and <b>Freeze</b> it.,Spell,,,,
83,Donato Giancola,1.0,CS1_042,Basic,True,1.0,922,,Alliance,"If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.",2.0,,Unlocked at Paladin Level 57.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS1_042.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS1_042_premium.gif,enUS,[{'name': 'Taunt'}],Goldshire Footman,Neutral,,Free,<b>Taunt</b>,Minion,,,,
84,Phil Saunders,1.0,EX1_508,Basic,True,1.0,510,,Neutral,These are the brainy murlocs.  It turns out that doesn’t mean much.,1.0,,Unlocked at Warlock Level 53.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_508.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_508_premium.gif,enUS,,Grimscale Oracle,Neutral,Murloc,Free,Your other Murlocs have +1 Attack.,Minion,,,,
85,Clint Langley,,EX1_371,Basic,True,1.0,727,,Neutral,"This spell has been renamed so many times, even paladins don’t know what it should be called anymore.",,Unlocked at Level 1.,Unlocked at Level 23.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_371.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_371_premium.gif,enUS,[{'name': 'Divine Shield'}],Hand of Protection,Paladin,,Free,Give a minion <b>Divine Shield</b>.,Spell,,,,
86,,,BCON_012,Basic,,1.0,49237,,,,,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/BCON_012.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/BCON_012_premium.gif,enUS,[{'name': 'Secret'}],Hand of Salvation,Paladin,,Free,"<b>Secret:</b> When your second minion dies in a turn, return it to life.",Spell,,,,
87,,0.0,NEW1_009,Basic,,1.0,764,,,,2.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/NEW1_009.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/NEW1_009_premium.gif,enUS,,Healing Totem,Shaman,Totem,Free,"At the end of your turn, restore #1 Health to all friendly minions.",Minion,,,,
88,Steve Ellis,,CS1_130,Basic,True,1.0,279,,Neutral,It doesn't matter how pious you are.  Everyone needs a good smiting now and again.,,Unlocked at Level 1.,Unlocked at Level 23.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS1_130.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS1_130_premium.gif,enUS,,Holy Smite,Priest,,Free,Deal $2 damage.,Spell,,,,
89,Daren Bader,,EX1_360,Basic,True,1.0,854,,Neutral,"This card makes something really damp.  Oh wait.  That's ""Humidity.""",,Unlocked at Level 6.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_360.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_360_premium.gif,enUS,,Humility,Paladin,,Free,Change a minion's Attack to 1.,Spell,,,,
90,Glenn Rane,1.0,CS2_091,Basic,True,1.0,383,4.0,Neutral,Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.,,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_091.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_091_premium.gif,enUS,,Light's Justice,Paladin,,Free,,Weapon,,,,
91,,2.0,EX1_025t,Basic,,1.0,59,,Neutral,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_025t.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_025t_premium.gif,enUS,,Mechanical Dragonling,Neutral,Mech,Common,,Minion,,,,
92,Michael Komarck,,CS2_003,Basic,True,1.0,1099,,Neutral,I see what you did there.,,Unlocked at Level 4.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_003.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_003_premium.gif,enUS,,Mind Vision,Priest,,Free,Put a copy of a random card in your opponent's hand into your hand.,Spell,,,,
93,Jim Nelson,,CS2_027,Basic,True,1.0,1084,,Neutral,Oh hey it's Mirror Image! !egamI rorriM s'ti yeh hO,,Unlocked at Level 4.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_027.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_027_premium.gif,enUS,[{'name': 'Taunt'}],Mirror Image,Mage,,Free,Summon two 0/2 minions with <b>Taunt</b>.,Spell,,,,
94,Matt Gaser,,EX1_302,Basic,True,1.0,1092,,Neutral,"If your spells look like horrifying skulls, let's be honest, you should get to draw some cards.",,Unlocked at Level 4.,Unlocked at Level 43.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_302.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_302_premium.gif,enUS,,Mortal Coil,Warlock,,Free,"Deal $1 damage to a minion. If that kills it, draw a card.",Spell,,,,
95,Dan Scott,2.0,CS2_168,Basic,True,1.0,191,,Alliance,"Mrrraggglhlhghghlgh, mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl!!",1.0,,Unlocked at Priest Level 51.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_168.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_168_premium.gif,enUS,,Murloc Raider,Neutral,Murloc,Free,,Minion,,,,
96,,1.0,EX1_506a,Basic,,1.0,1078,,Neutral,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/EX1_506a.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/EX1_506a_premium.gif,enUS,,Murloc Scout,Neutral,Murloc,Common,,Minion,,,,
97,Terese Nielsen,1.0,CS2_235,Basic,True,1.0,1650,,,They help the downtrodden and distressed.  Also they sell cookies.,3.0,Unlocked at Level 1.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_235.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_235_premium.gif,enUS,,Northshire Cleric,Priest,,Free,"Whenever a minion is healed, draw a card.",Minion,,,,
98,Jessica Jung,,CS2_004,Basic,True,1.0,613,,Neutral,"Sure the extra protection is nice, but the shield really reduces visibility.",,Unlocked at Level 1.,Unlocked at Level 47.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_004.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_004_premium.gif,enUS,,Power Word: Shield,Priest,,Free,Give a minion +2_Health.\nDraw a card.,Spell,,,,
99,,1.0,CS2_050,Basic,,1.0,537,,Neutral,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_050.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_050_premium.gif,enUS,,Searing Totem,Shaman,Totem,Free,,Minion,,,,
100,,1.0,CS2_tk1,Basic,,1.0,796,,Neutral,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_tk1.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_tk1_premium.gif,enUS,,Sheep,Neutral,Beast,Common,,Minion,,,,
101,,1.0,CS2_101t,Basic,,1.0,1652,,,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/CS2_101t.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/CS2_101t_premium.gif,enUS,,Silver Hand Recruit,Paladin,,Free,,Minion,,,,
102,Frank Cho,,CS2_075,Basic,True,1.0,710,,Neutral,"There's something about this strike that just feels off.  Sinister, even.",,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_075.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_075_premium.gif,enUS,,Sinister Strike,Rogue,,Free,Deal $3 damage to the_enemy hero.,Spell,,,,
103,,1.0,skele11,Basic,,1.0,1077,,Neutral,,1.0,,,http://wow.zamimg.com/images/hearthstone/cards/enus/original/skele11.png,http://wow.zamimg.com/images/hearthstone/cards/enus/animated/skele11_premium.gif,enUS,,Skeleton,Neutral,,Common,<b></b>,Minion,,,,
