artist,attack,cardId,cardSet,collectible,cost,dbfId,durability,faction,flavor,health,howToGet,howToGetGold,img,imgGold,locale,mechanics,name,playerClass,race,rarity,text,type,elite,classes,multiClassGroup,armor
Trent Kaniuga,,EX1_244,Basic,True,0.0,830,,Neutral,Totem-stomping is no longer recommended.,,Unlocked at Level 6.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_244.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_244_premium.gif,enUS,,Totemic Might,Shaman,,Free,Give your Totems +2_Health.,Spell,,,,
Warren Mahy,,EX1_277,Basic,True,1.0,564,,Neutral,You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.,,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_277.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_277_premium.gif,enUS,[{'name': 'ImmuneToSpellpower'}],Arcane Missiles,Mage,,Free,Deal $3 damage randomly split among all enemies.,Spell,,,,
Luca Zontini,,DS1_185,Basic,True,1.0,877,,Neutral,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.",,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_185.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_185_premium.gif,enUS,,Arcane Shot,Hunter,,Free,Deal $2 damage.,Spell,,,,
Zoltan Boros,,CS2_087,Basic,True,1.0,70,,Neutral,"""As in, you MIGHT want to get out of my way."" - Toad Mackle, recently buffed.",,Unlocked at Level 1.,Unlocked at Level 45.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_087.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_087_premium.gif,enUS,,Blessing of Might,Paladin,,Free,Give a minion +3_Attack.,Spell,,,,
Alex Horley Orlandelli,,CS2_103,Basic,True,1.0,344,,Neutral,"""Guys! Guys! Slow down!"" - some kind of non-warrior minion",,Unlocked at Level 1.,Unlocked at Level 23.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_103.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_103_premium.gif,enUS,[{'name': 'Charge'}],Charge,Warrior,,Free,Give a friendly minion <b>Charge</b>. It can't attack heroes this turn.,Spell,,,,
Dany Orizio,,CS2_005,Basic,True,1.0,1050,,Neutral,The claw decides who will stay and who will go.,,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_005.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_005_premium.gif,enUS,,Claw,Druid,,Free,Give your hero +2_Attack this turn. Gain 2 Armor.,Spell,,,,
Wayne Reynolds,,CS2_063,Basic,True,1.0,982,,Neutral,"It starts with stealing a pen from work, and before you know it, BOOOM!  Corrupted!",,Unlocked at Level 2.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_063.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_063_premium.gif,enUS,,Corruption,Warlock,,Free,"Choose an enemy minion. At the start of your turn, destroy it.",Spell,,,,
Trevor Jacobs,,CS2_074,Basic,True,1.0,459,,Neutral,"Rogues guard the secrets to poison-making carefully, lest magi start incorporating poison into their spells.  Poisonbolt? Rain of Poison?  Poison Elemental?  Nobody wants that.",,Unlocked at Level 1.,Unlocked at Level 43.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_074.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_074_premium.gif,enUS,,Deadly Poison,Rogue,,Free,Give your weapon +2_Attack.,Spell,,,,
Steve Prescott,1.0,CS2_189,Basic,True,1.0,389,,Horde,Don't bother asking her out on a date.  She'll shoot you down.,1.0,,Unlocked at Druid Level 57.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_189.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_189_premium.gif,enUS,[{'name': 'Battlecry'}],Elven Archer,Neutral,,Free,<b>Battlecry:</b> Deal 1 damage.,Minion,,,,
Alex Horley Orlandelli,,CS2_037,Basic,True,1.0,971,,Neutral,FROST SHOCK!,,Unlocked at Level 1.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_037.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_037_premium.gif,enUS,[{'name': 'Freeze'}],Frost Shock,Shaman,,Free,Deal $1 damage to an enemy character and <b>Freeze</b> it.,Spell,,,,
Donato Giancola,1.0,CS1_042,Basic,True,1.0,922,,Alliance,"If 1/2 minions are all that is defending Goldshire, you would think it would have been overrun years ago.",2.0,,Unlocked at Paladin Level 57.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS1_042.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS1_042_premium.gif,enUS,[{'name': 'Taunt'}],Goldshire Footman,Neutral,,Free,<b>Taunt</b>,Minion,,,,
Phil Saunders,1.0,EX1_508,Basic,True,1.0,510,,Neutral,These are the brainy murlocs.  It turns out that doesn’t mean much.,1.0,,Unlocked at Warlock Level 53.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_508.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_508_premium.gif,enUS,,Grimscale Oracle,Neutral,Murloc,Free,Your other Murlocs have +1 Attack.,Minion,,,,
Clint Langley,,EX1_371,Basic,True,1.0,727,,Neutral,"This spell has been renamed so many times, even paladins don’t know what it should be called anymore.",,Unlocked at Level 1.,Unlocked at Level 23.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_371.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_371_premium.gif,enUS,[{'name': 'Divine Shield'}],Hand of Protection,Paladin,,Free,Give a minion <b>Divine Shield</b>.,Spell,,,,
Steve Ellis,,CS1_130,Basic,True,1.0,279,,Neutral,It doesn't matter how pious you are.  Everyone needs a good smiting now and again.,,Unlocked at Level 1.,Unlocked at Level 23.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS1_130.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS1_130_premium.gif,enUS,,Holy Smite,Priest,,Free,Deal $2 damage.,Spell,,,,
Daren Bader,,EX1_360,Basic,True,1.0,854,,Neutral,"This card makes something really damp.  Oh wait.  That's ""Humidity.""",,Unlocked at Level 6.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_360.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_360_premium.gif,enUS,,Humility,Paladin,,Free,Change a minion's Attack to 1.,Spell,,,,
Glenn Rane,1.0,CS2_091,Basic,True,1.0,383,4.0,Neutral,Prince Malchezaar was a collector of rare weapons. He'd animate them and have them dance for him.,,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_091.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_091_premium.gif,enUS,,Light's Justice,Paladin,,Free,,Weapon,,,,
Michael Komarck,,CS2_003,Basic,True,1.0,1099,,Neutral,I see what you did there.,,Unlocked at Level 4.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_003.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_003_premium.gif,enUS,,Mind Vision,Priest,,Free,Put a copy of a random card in your opponent's hand into your hand.,Spell,,,,
Jim Nelson,,CS2_027,Basic,True,1.0,1084,,Neutral,Oh hey it's Mirror Image! !egamI rorriM s'ti yeh hO,,Unlocked at Level 4.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_027.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_027_premium.gif,enUS,[{'name': 'Taunt'}],Mirror Image,Mage,,Free,Summon two 0/2 minions with <b>Taunt</b>.,Spell,,,,
Matt Gaser,,EX1_302,Basic,True,1.0,1092,,Neutral,"If your spells look like horrifying skulls, let's be honest, you should get to draw some cards.",,Unlocked at Level 4.,Unlocked at Level 43.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_302.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_302_premium.gif,enUS,,Mortal Coil,Warlock,,Free,"Deal $1 damage to a minion. If that kills it, draw a card.",Spell,,,,
Dan Scott,2.0,CS2_168,Basic,True,1.0,191,,Alliance,"Mrrraggglhlhghghlgh, mrgaaag blarrghlgaahahl mrgggg glhalhah a bghhll graggmgmg Garrosh mglhlhlh mrghlhlhl!!",1.0,,Unlocked at Priest Level 51.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_168.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_168_premium.gif,enUS,,Murloc Raider,Neutral,Murloc,Free,,Minion,,,,
Terese Nielsen,1.0,CS2_235,Basic,True,1.0,1650,,,They help the downtrodden and distressed.  Also they sell cookies.,3.0,Unlocked at Level 1.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_235.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_235_premium.gif,enUS,,Northshire Cleric,Priest,,Free,"Whenever a minion is healed, draw a card.",Minion,,,,
Jessica Jung,,CS2_004,Basic,True,1.0,613,,Neutral,"Sure the extra protection is nice, but the shield really reduces visibility.",,Unlocked at Level 1.,Unlocked at Level 47.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_004.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_004_premium.gif,enUS,,Power Word: Shield,Priest,,Free,Give a minion +2_Health.\nDraw a card.,Spell,,,,
Frank Cho,,CS2_075,Basic,True,1.0,710,,Neutral,"There's something about this strike that just feels off.  Sinister, even.",,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_075.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_075_premium.gif,enUS,,Sinister Strike,Rogue,,Free,Deal $3 damage to the_enemy hero.,Spell,,,,
Raymond Swanland,,EX1_308,Basic,True,1.0,974,,Neutral,Are you lighting a soul on fire? Or burning someone with your OWN soul? This seems like an important distinction.,,Unlocked at Level 6.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_308.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_308_premium.gif,enUS,,Soulfire,Warlock,,Free,[x]Deal $4 damage.\nDiscard a random card.,Spell,,,,
Howard Lyon,1.0,CS2_171,Basic,True,1.0,648,,Neutral,This card is boaring.,1.0,,Unlocked at Hunter Level 53.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_171.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_171_premium.gif,enUS,[{'name': 'Charge'}],Stonetusk Boar,Neutral,Beast,Free,<b>Charge</b>,Minion,,,,
Malcolm Davis,1.0,DS1_175,Basic,True,1.0,606,,Neutral,Other beasts totally dig hanging out with timber wolves.,1.0,Unlocked at Level 1.,Unlocked at Level 23.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_175.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_175_premium.gif,enUS,[{'name': 'Aura'}],Timber Wolf,Hunter,Beast,Free,Your other Beasts have +1_Attack.,Minion,,,,
Mauro Cascioli,,DS1_184,Basic,True,1.0,1047,,Neutral,For the person who just cannot decide what card to put into a deck!,,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_184.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_184_premium.gif,enUS,,Tracking,Hunter,,Free,Look at the top 3 cards of your deck. Draw one and discard the_others.,Spell,,,,
Alex Horley Orlandelli,1.0,CS2_065,Basic,True,1.0,48,,Neutral,"No relation to ""The Voidsteppers"", the popular Void-based dance troupe.",3.0,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_065.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_065_premium.gif,enUS,[{'name': 'Taunt'}],Voidwalker,Warlock,Demon,Free,<b>Taunt</b>,Minion,,,,
Karl Richardson,2.0,EX1_011,Basic,True,1.0,132,,Horde,Voodoo is an oft-misunderstood art. But it <i>is</i> art.,1.0,,Unlocked at Rogue Level 55.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_011.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_011_premium.gif,enUS,[{'name': 'Battlecry'}],Voodoo Doctor,Neutral,,Free,<b>Battlecry:</b> Restore #2_Health.,Minion,,,,
Jonboy Meyers,,EX1_400,Basic,True,1.0,636,,Neutral,"The way to tell seasoned warriors from novice ones: the novices yell ""wheeeee"" while whirlwinding.",,Unlocked at Level 6.,Unlocked at Level 32.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_400.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_400_premium.gif,enUS,,Whirlwind,Warrior,,Free,Deal $1 damage to ALL_minions.,Spell,,,,
Chris Rahn,3.0,EX1_066,Basic,True,2.0,906,,Alliance,Oozes love Flamenco.  Don't ask.,2.0,,Unlocked at Rogue Level 57.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_066.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_066_premium.gif,enUS,[{'name': 'Battlecry'}],Acidic Swamp Ooze,Neutral,,Free,<b>Battlecry:</b> Destroy your opponent's weapon.,Minion,,,,
Howard Lyon,,CS2_025,Basic,True,2.0,447,,Neutral,This spell is much better than Arcane Implosion.,,Unlocked at Level 1.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_025.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_025_premium.gif,enUS,,Arcane Explosion,Mage,,Free,Deal $1 damage to all enemy minions.,Spell,,,,
Dan Brereton,3.0,CS2_172,Basic,True,2.0,216,,Horde,"""Kill 30 raptors."" - Hemet Nesingwary",2.0,,Unlocked at Hunter Level 57.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_172.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_172_premium.gif,enUS,,Bloodfen Raptor,Neutral,Beast,Free,,Minion,,,,
Jakub Kasper,2.0,CS2_173,Basic,True,2.0,739,,Neutral,He just wants a hug.   A sloppy... slimy... hug.,1.0,,Unlocked at Paladin Level 53.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_173.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_173_premium.gif,enUS,[{'name': 'Charge'}],Bluegill Warrior,Neutral,Murloc,Free,<b>Charge</b>,Minion,,,,
Phroilan Gardner,,CS2_114,Basic,True,2.0,940,,Neutral,Hey you two…could you stand next to each other for a second…,,Unlocked at Level 2.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_114.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_114_premium.gif,enUS,,Cleave,Warrior,,Free,[x]Deal $2 damage to\ntwo random enemy\nminions.,Spell,,,,
Jim Pavelec,,CS2_236,Basic,True,2.0,1361,,,Double the trouble. Double the fun!,,Unlocked at Level 2.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_236.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_236_premium.gif,enUS,,Divine Spirit,Priest,,Free,Double a minion's Health.,Spell,,,,
Dany Orizio,,CS2_108,Basic,True,2.0,785,,Neutral,"It's okay, he deserved it.",,Unlocked at Level 1.,Unlocked at Level 47.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_108.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_108_premium.gif,enUS,,Execute,Warrior,,Free,Destroy a damaged enemy minion.,Spell,,,,
Steve Ellis,,CS2_024,Basic,True,2.0,662,,Neutral,"It is customary to yell ""Chill out!"" or ""Freeze!"" or ""Ice ice, baby!"" when you play this card.",,Unlocked at Level 2.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_024.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_024_premium.gif,enUS,[{'name': 'Freeze'}],Frostbolt,Mage,,Free,Deal $3 damage to a_character and <b>Freeze</b> it.,Spell,,,,
Richie Marella,2.0,CS2_121,Basic,True,2.0,41,,Neutral,Grunting is what his father did and his father before that.   It's more than just a job.,2.0,,Unlocked at Shaman Level 57.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_121.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_121_premium.gif,enUS,[{'name': 'Taunt'}],Frostwolf Grunt,Neutral,,Free,<b>Taunt</b>,Minion,,,,
Jonboy Meyers,,CS2_105,Basic,True,2.0,1007,,Neutral,"Really, if you're a hero, this is <i>every</i> strike.",,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_105.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_105_premium.gif,enUS,,Heroic Strike,Warrior,,Free,Give your hero +4_Attack this turn.,Spell,,,,
Zoltan & Gabor,,CS2_089,Basic,True,2.0,291,,Neutral,"If you are often bathed in Holy Light, you should consider wearing sunscreen.",,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_089.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_089_premium.gif,enUS,,Holy Light,Paladin,,Free,Restore #6 Health.,Spell,,,,
Jimmy Lo,,CS2_084,Basic,True,2.0,141,,Neutral,Never play 'Hide and Go Seek' with a Hunter.,,Unlocked at Level 6.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_084.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_084_premium.gif,enUS,,Hunter's Mark,Hunter,,Free,Change a minion's Health to 1.,Spell,,,,
Gabor Szikszai,2.0,CS2_142,Basic,True,2.0,672,,Horde,"In the old days, Kobolds were the finest candle merchants in the land. Then they got pushed too far...",2.0,,Unlocked at Warlock Level 59.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_142.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_142_premium.gif,enUS,[{'name': 'Spell Damage'}],Kobold Geomancer,Neutral,,Free,<b>Spell Damage +1</b>,Minion,,,,
Brad Vancata,,CS2_009,Basic,True,2.0,213,,Neutral,Not to be confused with Jim of the Wild.,,Unlocked at Level 1.,Unlocked at Level 28.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_009.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_009_premium.gif,enUS,[{'name': 'Taunt'}],Mark of the Wild,Druid,,Free,Give a minion <b>Taunt</b> and +2/+2.<i>\n(+2 Attack/+2 Health)</i>,Spell,,,,
Dave Allsop,,DS1_233,Basic,True,2.0,545,,Neutral,This spell blasts you directly in the MIND.,,Unlocked at Level 1.,Unlocked at Level 15.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/DS1_233.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/DS1_233_premium.gif,enUS,,Mind Blast,Priest,,Free,Deal $5 damage to the enemy hero.,Spell,,,,
Dan Scott,2.0,EX1_506,Basic,True,2.0,976,,Neutral,"""Death will rise, from the tides!""",1.0,,Unlocked at Rogue Level 53.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_506.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_506_premium.gif,enUS,[{'name': 'Battlecry'}],Murloc Tidehunter,Neutral,Murloc,Free,<b>Battlecry:</b> Summon a 1/1_Murloc Scout.,Minion,,,,
Karl Richardson,1.0,EX1_015,Basic,True,2.0,284,,Alliance,"""Half of this class will not graduate… since they'll have been turned to chickens."" - Tinkmaster Overspark, teaching Gizmos 101.",1.0,,Unlocked at Druid Level 59.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_015.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_015_premium.gif,enUS,[{'name': 'Battlecry'}],Novice Engineer,Neutral,,Free,<b>Battlecry:</b> Draw a card.,Minion,,,,
Daren Bader,2.0,CS2_120,Basic,True,2.0,1369,,,"Edward ""Lefty"" Smith tried to make luggage out of a river crocolisk once.",3.0,,Unlocked at Druid Level 55.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_120.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_120_premium.gif,enUS,,River Crocolisk,Neutral,Beast,Free,,Minion,,,,
Alex Horley Orlandelli,,CS2_045,Basic,True,2.0,239,,Neutral,This would be real handy if your enemy is made of rock.,,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_045.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_045_premium.gif,enUS,,Rockbiter Weapon,Shaman,,Free,Give a friendly character +3 Attack this turn.,Spell,,,,
Scott Altmann,,EX1_581,Basic,True,2.0,461,,Neutral,Rogues love sappy movies.,,Unlocked at Level 1.,Unlocked at Level 40.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_581.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_581_premium.gif,enUS,,Sap,Rogue,,Free,Return an enemy minion to your opponent's hand.,Spell,,,,
Raymond Swanland,,CS2_234,Basic,True,2.0,1367,,,"A step up from a spell cast by many beginning acolytes: ""Shadow Word: Annoy"".",,Unlocked at Level 1.,Unlocked at Level 36.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/CS2_234.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/CS2_234_premium.gif,enUS,,Shadow Word: Pain,Priest,,Free,Destroy a minion with 3_or less Attack.,Spell,,,,
Alex Garner,,EX1_278,Basic,True,2.0,573,,Neutral,Rogues are experts at SHIV-al-ry.,,Unlocked at Level 6.,Unlocked at Level 45.,http://media.services.zam.com/v1/media/byName/hs/cards/enus/EX1_278.png,http://media.services.zam.com/v1/media/byName/hs/cards/enus/animated/EX1_278_premium.gif,enUS,,Shiv,Rogue,,Free,Deal $1 damage.\nDraw a card.,Spell,,,,
