attack,cardId,cardSet,cost,durability,faction,health,mechanics,name,playerClass,race,rarity,text,type,armor,attack_true,durability_true,health_true,armor_true
,EX1_278,Basic,2.0,,Neutral,,,Shiv,Rogue,General,Free,Deal $1 damage.\nDraw a card.,Spell,,0,0,0,0
4.0,EX1_306,Basic,2.0,,Neutral,3.0,[{'name': 'Battlecry'}],Succubus,Warlock,Demon,Free,<b>Battlecry:</b> Discard a random card.,Minion,,1,0,1,0
,CS2_039,Basic,2.0,,Neutral,,[{'name': 'Windfury'}],Windfury,Shaman,General,Free,Give a minion <b>Windfury</b>.,Spell,,0,0,0,0
,NEW1_031,Basic,3.0,,Neutral,,,Animal Companion,Hunter,General,Free,Summon a random Beast Companion.,Spell,,0,0,0,0
,CS2_023,Basic,3.0,,Neutral,,,Arcane Intellect,Mage,General,Free,Draw 2 cards.,Spell,,0,0,0,0
1.0,EX1_582,Basic,3.0,,Neutral,4.0,[{'name': 'Spell Damage'}],Dalaran Mage,Neutral,General,Free,<b>Spell Damage +1</b>,Minion,,1,0,1,0
,CS2_061,Basic,3.0,,Neutral,,,Drain Life,Warlock,General,Free,Deal $2 damage. Restore #2 Health to your hero.,Spell,,0,0,0,0
,EX1_129,Basic,3.0,,Neutral,,,Fan of Knives,Rogue,General,Free,Deal $1 damage to all enemy minions. Draw_a card.,Spell,,0,0,0,0
3.0,CS2_106,Basic,3.0,2.0,Neutral,,,Fiery War Axe,Warrior,General,Free, ,Weapon,,1,1,0,0
0.0,EX1_565,Basic,3.0,,Neutral,3.0,"[{'name': 'AdjacentBuff'}, {'name': 'Aura'}]",Flametongue Totem,Shaman,Totem,Free,Adjacent minions have +2_Attack.,Minion,,1,0,1,0
,CS2_026,Basic,3.0,,Neutral,,[{'name': 'Freeze'}],Frost Nova,Mage,General,Free,<b>Freeze</b> all enemy minions.,Spell,,0,0,0,0
,CS2_007,Basic,3.0,,Neutral,,,Healing Touch,Druid,General,Free,Restore #8 Health.,Spell,,0,0,0,0
2.0,CS2_141,Basic,3.0,,Alliance,2.0,[{'name': 'Battlecry'}],Ironforge Rifleman,Neutral,General,Free,<b>Battlecry:</b> Deal 1 damage.,Minion,,1,0,1,0
3.0,CS2_125,Basic,3.0,,Neutral,3.0,[{'name': 'Taunt'}],Ironfur Grizzly,Neutral,Beast,Free,<b>Taunt</b>,Minion,,1,0,1,0
,EX1_539,Basic,3.0,,Neutral,,,Kill Command,Hunter,General,Free,"Deal $3 damage. If you control a Beast, deal\n$5 damage instead.",Spell,,0,0,0,0
5.0,CS2_118,Basic,3.0,,Neutral,1.0,,Magma Rager,Neutral,Elemental,Free, ,Minion,,1,0,1,0
2.0,CS2_122,Basic,3.0,,Neutral,2.0,[{'name': 'Aura'}],Raid Leader,Neutral,General,Free,Your other minions have +1 Attack.,Minion,,1,0,1,0
2.0,CS2_196,Basic,3.0,,Horde,3.0,[{'name': 'Battlecry'}],Razorfen Hunter,Neutral,General,Free,<b>Battlecry:</b> Summon a 1/1_Boar.,Minion,,1,0,1,0
,CS2_011,Basic,3.0,,Neutral,,,Savage Roar,Druid,General,Free,Give your characters +2_Attack this turn.,Spell,,0,0,0,0
,CS2_057,Basic,3.0,,Neutral,,,Shadow Bolt,Warlock,General,Free,Deal $4 damage\nto a minion.,Spell,,0,0,0,0
,EX1_622,Basic,3.0,,Neutral,,,Shadow Word: Death,Priest,General,Free,Destroy a minion with 5_or more Attack.,Spell,,0,0,0,0
3.0,EX1_019,Basic,3.0,,Neutral,2.0,[{'name': 'Battlecry'}],Shattered Sun Cleric,Neutral,General,Free,<b>Battlecry:</b> Give a friendly minion +1/+1.,Minion,,1,0,1,0
,EX1_606,Basic,3.0,,Neutral,,,Shield Block,Warrior,General,Free,Gain 5 Armor.\nDraw a card.,Spell,,0,0,0,0
1.0,CS2_127,Basic,3.0,,Horde,4.0,[{'name': 'Taunt'}],Silverback Patriarch,Neutral,Beast,Free,<b>Taunt</b>,Minion,,1,0,1,0
2.0,EX1_084,Basic,3.0,,Neutral,3.0,"[{'name': 'Charge'}, {'name': 'Aura'}]",Warsong Commander,Warrior,General,Free,Your <b>Charge</b> minions have +1 Attack.,Minion,,1,0,1,0
,CS2_013,Basic,3.0,,Neutral,,,Wild Growth,Druid,General,Free,Gain an empty Mana Crystal.,Spell,,0,0,0,0
3.0,CS2_124,Basic,3.0,,Horde,1.0,[{'name': 'Charge'}],Wolfrider,Neutral,General,Free,<b>Charge</b>,Minion,,1,0,1,0
,CS2_092,Basic,4.0,,Neutral,,,Blessing of Kings,Paladin,General,Free,Give a minion +4/+4. <i>(+4 Attack/+4 Health)</i>,Spell,,0,0,0,0
4.0,CS2_182,Basic,4.0,,Neutral,5.0,,Chillwind Yeti,Neutral,General,Free, ,Minion,,1,0,1,0
,CS2_093,Basic,4.0,,Neutral,,,Consecration,Paladin,General,Free,Deal $2 damage to all_enemies.,Spell,,0,0,0,0
2.0,EX1_025,Basic,4.0,,Alliance,4.0,[{'name': 'Battlecry'}],Dragonling Mechanic,Neutral,General,Free,<b>Battlecry:</b> Summon a 2/1 Mechanical Dragonling.,Minion,,1,0,1,0
,CS2_029,Basic,4.0,,Neutral,,,Fireball,Mage,General,Free,Deal $6 damage.,Spell,,0,0,0,0
2.0,CS2_147,Basic,4.0,,Alliance,4.0,[{'name': 'Battlecry'}],Gnomish Inventor,Neutral,General,Free,<b>Battlecry:</b> Draw a card.,Minion,,1,0,1,0
,CS2_094,Basic,4.0,,Neutral,,,Hammer of Wrath,Paladin,General,Free,Deal $3 damage.\nDraw a card.,Spell,,0,0,0,0
,CS2_062,Basic,4.0,,Neutral,,,Hellfire,Warlock,General,Free,Deal $3 damage to ALL_characters.,Spell,,0,0,0,0
,EX1_246,Basic,4.0,,Neutral,,[{'name': 'Taunt'}],Hex,Shaman,General,Free,Transform a minion into a 0/1 Frog with <b>Taunt</b>.,Spell,,0,0,0,0
4.0,DS1_070,Basic,4.0,,Neutral,3.0,"[{'name': 'Taunt'}, {'name': 'Battlecry'}]",Houndmaster,Hunter,General,Free,<b>Battlecry:</b> Give a friendly Beast +2/+2 and <b>Taunt</b>.,Minion,,1,0,1,0
4.0,NEW1_011,Basic,4.0,,Neutral,3.0,[{'name': 'Charge'}],Kor'kron Elite,Warrior,General,Free,<b>Charge</b>,Minion,,1,0,1,0
,DS1_183,Basic,4.0,,Neutral,,,Multi-Shot,Hunter,General,Free,Deal $3 damage to two random enemy minions.,Spell,,0,0,0,0
2.0,CS2_119,Basic,4.0,,Neutral,7.0,,Oasis Snapjaw,Neutral,Beast,Free, ,Minion,,1,0,1,0
4.0,CS2_197,Basic,4.0,,Neutral,4.0,[{'name': 'Spell Damage'}],Ogre Magi,Neutral,General,Free,<b>Spell Damage +1</b>,Minion,,1,0,1,0
,CS2_022,Basic,4.0,,Neutral,,,Polymorph,Mage,General,Free,Transform a minion\ninto a 1/1 Sheep.,Spell,,0,0,0,0
3.0,CS2_179,Basic,4.0,,Horde,5.0,[{'name': 'Taunt'}],Sen'jin Shieldmasta,Neutral,General,Free,<b>Taunt</b>,Minion,,1,0,1,0
2.0,CS2_131,Basic,4.0,,Alliance,5.0,[{'name': 'Charge'}],Stormwind Knight,Neutral,General,Free,<b>Charge</b>,Minion,,1,0,1,0
,CS2_012,Basic,4.0,,Neutral,,,Swipe,Druid,General,Free,Deal $4 damage to an enemy and $1 damage to all other enemies.,Spell,,0,0,0,0
4.0,CS2_097,Basic,4.0,2.0,Neutral,,,Truesilver Champion,Paladin,General,Free,"Whenever your hero attacks, restore #2_Health to it.",Weapon,,1,1,0,0
3.0,CS2_033,Basic,4.0,,Neutral,6.0,[{'name': 'Freeze'}],Water Elemental,Mage,Elemental,Free,<b>Freeze</b> any character damaged by this minion.,Minion,,1,0,1,0
3.0,EX1_587,Basic,4.0,,Neutral,3.0,"[{'name': 'Windfury'}, {'name': 'Battlecry'}]",Windspeaker,Shaman,General,Free,<b>Battlecry:</b> Give a friendly minion <b>Windfury</b>.,Minion,,1,0,1,0
5.0,CS2_112,Basic,5.0,2.0,Neutral,,,Arcanite Reaper,Warrior,General,Free, ,Weapon,,1,1,0,0
3.0,CS2_080,Basic,5.0,4.0,Neutral,,,Assassin's Blade,Rogue,General,Free, ,Weapon,,1,1,0,0
,CS2_076,Basic,5.0,,Neutral,,,Assassinate,Rogue,General,Free,Destroy an enemy minion.,Spell,,0,0,0,0
,CS2_046,Basic,5.0,,Neutral,,,Bloodlust,Shaman,General,Free,Give your minions +3_Attack this turn.,Spell,,0,0,0,0
5.0,CS2_187,Basic,5.0,,Horde,4.0,[{'name': 'Taunt'}],Booty Bay Bodyguard,Neutral,General,Free,<b>Taunt</b>,Minion,,1,0,1,0
4.0,DS1_055,Basic,5.0,,Neutral,5.0,[{'name': 'Battlecry'}],Darkscale Healer,Neutral,General,Free,<b>Battlecry:</b> Restore #2 Health to all friendly characters.,Minion,,1,0,1,0
4.0,CS2_226,Basic,5.0,,Horde,4.0,[{'name': 'Battlecry'}],Frostwolf Warlord,Neutral,General,Free,<b>Battlecry:</b> Gain +1/+1 for each other friendly minion on the battlefield.,Minion,,1,0,1,0
2.0,EX1_399,Basic,5.0,,Neutral,7.0,,Gurubashi Berserker,Neutral,General,Free,"Whenever this minion takes damage, gain +3_Attack.",Minion,,1,0,1,0
,CS1_112,Basic,5.0,,Neutral,,,Holy Nova,Priest,General,Free,Deal $2 damage to all enemies. Restore #2_Health to all friendly characters.,Spell,,0,0,0,0
4.0,EX1_593,Basic,5.0,,Neutral,4.0,[{'name': 'Battlecry'}],Nightblade,Neutral,General,Free,<b>Battlecry: </b>Deal 3 damage to the enemy hero.,Minion,,1,0,1,0
3.0,CS2_237,Basic,5.0,,Neutral,2.0,,Starving Buzzard,Hunter,Beast,Free,"Whenever you summon a Beast, draw a card.",Minion,,1,0,1,0
4.0,CS2_150,Basic,5.0,,Alliance,2.0,[{'name': 'Battlecry'}],Stormpike Commando,Neutral,General,Free,<b>Battlecry:</b> Deal 2 damage.,Minion,,1,0,1,0
2.0,DS1_178,Basic,5.0,,Neutral,5.0,"[{'name': 'Charge'}, {'name': 'Aura'}]",Tundra Rhino,Hunter,Beast,Free,Your Beasts have <b>Charge</b>.,Minion,,1,0,1,0
4.0,CS2_155,Basic,6.0,,Alliance,7.0,[{'name': 'Spell Damage'}],Archmage,Neutral,General,Free,<b>Spell Damage +1</b>,Minion,,1,0,1,0
6.0,CS2_200,Basic,6.0,,Neutral,7.0,,Boulderfist Ogre,Neutral,General,Free, ,Minion,,1,0,1,0
6.0,CS2_064,Basic,6.0,,Neutral,6.0,[{'name': 'Battlecry'}],Dread Infernal,Warlock,Demon,Free,<b>Battlecry:</b> Deal 1 damage to ALL other characters.,Minion,,1,0,1,0
6.0,CS2_042,Basic,6.0,,Neutral,5.0,[{'name': 'Battlecry'}],Fire Elemental,Shaman,Elemental,Free,<b>Battlecry:</b> Deal 3 damage.,Minion,,1,0,1,0
6.0,CS2_162,Basic,6.0,,Alliance,5.0,[{'name': 'Taunt'}],Lord of the Arena,Neutral,General,Free,<b>Taunt</b>,Minion,,1,0,1,0
5.0,CS2_213,Basic,6.0,,Horde,2.0,[{'name': 'Charge'}],Reckless Rocketeer,Neutral,General,Free,<b>Charge</b>,Minion,,1,0,1,0
,EX1_173,Basic,6.0,,Neutral,,,Starfire,Druid,General,Free,Deal $5 damage.\nDraw a card.,Spell,,0,0,0,0
,NEW1_004,Basic,6.0,,Neutral,,,Vanish,Rogue,General,Free,Return all minions to their owner's hand.,Spell,,0,0,0,0
9.0,CS2_201,Basic,7.0,,Neutral,5.0,,Core Hound,Neutral,Beast,Free, ,Minion,,1,0,1,0
,CS2_032,Basic,7.0,,Neutral,,,Flamestrike,Mage,General,Free,Deal $4 damage to all enemy minions.,Spell,,0,0,0,0
5.0,CS2_088,Basic,7.0,,Neutral,6.0,[{'name': 'Battlecry'}],Guardian of Kings,Paladin,General,Free,<b>Battlecry:</b> Restore #6 Health to your hero.,Minion,,1,0,1,0
,CS2_077,Basic,7.0,,Neutral,,,Sprint,Rogue,General,Free,Draw 4 cards.,Spell,,0,0,0,0
6.0,CS2_222,Basic,7.0,,Alliance,6.0,[{'name': 'Aura'}],Stormwind Champion,Neutral,General,Free,Your other minions have +1/+1.,Minion,,1,0,1,0
7.0,CS2_186,Basic,7.0,,Neutral,7.0,,War Golem,Neutral,General,Free, ,Minion,,1,0,1,0
8.0,CS2_232,Basic,8.0,,Neutral,8.0,[{'name': 'Taunt'}],Ironbark Protector,Druid,General,Free,<b>Taunt</b>,Minion,,1,0,1,0
,CS1_113,Basic,10.0,,Neutral,,,Mind Control,Priest,General,Free,Take control of an enemy minion.,Spell,,0,0,0,0
,EX1_621,Classic,0.0,,Neutral,,,Circle of Healing,Priest,General,Common,Restore #4 Health to ALL_minions.,Spell,,0,0,0,0
,EX1_607,Classic,0.0,,Neutral,,,Inner Rage,Warrior,General,Common,Deal $1 damage to a minion and give it +2_Attack.,Spell,,0,0,0,0
,EX1_145,Classic,0.0,,Neutral,,,Preparation,Rogue,General,Epic,The next spell you cast this turn costs (3) less.,Spell,,0,0,0,0
,EX1_144,Classic,0.0,,Neutral,,,Shadowstep,Rogue,General,Common,Return a friendly minion to your hand. It_costs (2) less.,Spell,,0,0,0,0
,EX1_332,Classic,0.0,,Neutral,,[{'name': 'Silence'}],Silence,Priest,General,Common,<b>Silence</b> a minion.,Spell,,0,0,0,0
1.0,CS2_231,Classic,0.0,,Neutral,1.0,,Wisp,Neutral,General,Common, ,Minion,,1,0,1,0
1.0,CS2_188,Classic,1.0,,Alliance,1.0,[{'name': 'Battlecry'}],Abusive Sergeant,Neutral,General,Common,<b>Battlecry:</b> Give a minion +2_Attack this turn.,Minion,,1,0,1,0
1.0,EX1_009,Classic,1.0,,Neutral,1.0,,Angry Chicken,Neutral,Beast,Rare,Has +5 Attack while damaged.,Minion,,1,0,1,0
1.0,EX1_008,Classic,1.0,,Alliance,1.0,[{'name': 'Divine Shield'}],Argent Squire,Neutral,General,Common,<b>Divine Shield</b>,Minion,,1,0,1,0
,EX1_549,Classic,1.0,,Neutral,,,Bestial Wrath,Hunter,General,Epic,Give a friendly Beast +2 Attack and <b>Immune</b> this turn.,Spell,,0,0,0,0
,EX1_363,Classic,1.0,,Neutral,,,Blessing of Wisdom,Paladin,General,Common,"Choose a minion. Whenever it attacks, draw a card.",Spell,,0,0,0,0
0.0,CS2_059,Classic,1.0,,Neutral,1.0,[{'name': 'Stealth'}],Blood Imp,Warlock,Demon,Common,"[x]  <b>Stealth</b>. At the end of your  \nturn, give another random\n friendly minion +1 Health.",Minion,,1,0,1,0
1.0,NEW1_025,Classic,1.0,,Neutral,2.0,[{'name': 'Battlecry'}],Bloodsail Corsair,Neutral,Pirate,Rare,[x]<b>Battlecry:</b> Remove\n1 Durability from your\nopponent's weapon.,Minion,,1,0,1,0
,EX1_181,Classic,1.0,,Neutral,,,Call of the Void,Warlock,General,Common,Add a random Demon to your hand.,Spell,,0,0,0,0
3.0,EX1_243,Classic,1.0,,Neutral,1.0,"[{'name': 'Overload'}, {'name': 'Windfury'}]",Dust Devil,Shaman,Elemental,Common,<b>Windfury</b>. <b>Overload:</b> (2),Minion,,1,0,1,0
,EX1_245,Classic,1.0,,Neutral,,[{'name': 'Silence'}],Earth Shock,Shaman,General,Common,"<b>Silence</b> a minion, then deal $1 damage to it.",Spell,,0,0,0,0
,EX1_132,Classic,1.0,,Neutral,,[{'name': 'Secret'}],Eye for an Eye,Paladin,General,Common,"<b>Secret:</b> When your hero takes damage, deal_that much damage to the enemy hero.",Spell,,0,0,0,0
3.0,EX1_319,Classic,1.0,,Neutral,2.0,[{'name': 'Battlecry'}],Flame Imp,Warlock,Demon,Common,<b>Battlecry:</b> Deal 3 damage to your hero.,Minion,,1,0,1,0
,EX1_251,Classic,1.0,,Neutral,,[{'name': 'Overload'}],Forked Lightning,Shaman,General,Common,Deal $2 damage to 2_random enemy minions. <b>Overload:</b> (2),Spell,,0,0,0,0
1.0,NEW1_017,Classic,1.0,,Neutral,2.0,[{'name': 'Battlecry'}],Hungry Crab,Neutral,Beast,Epic,<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.,Minion,,1,0,1,0
,CS1_129,Classic,1.0,,Neutral,,,Inner Fire,Priest,General,Common,Change a minion's Attack to be equal to its Health.,Spell,,0,0,0,0
1.0,EX1_029,Classic,1.0,,Neutral,1.0,[{'name': 'Deathrattle'}],Leper Gnome,Neutral,General,Common,<b>Deathrattle:</b> Deal 2 damage to the enemy_hero.,Minion,,1,0,1,0
,EX1_238,Classic,1.0,,Neutral,,[{'name': 'Overload'}],Lightning Bolt,Shaman,General,Common,Deal $3 damage. <b>Overload:</b> (1),Spell,,0,0,0,0
1.0,EX1_001,Classic,1.0,,Neutral,2.0,,Lightwarden,Neutral,General,Rare,"Whenever a character is healed, gain +2 Attack.",Minion,,1,0,1,0
1.0,EX1_509,Classic,1.0,,Neutral,2.0,,Murloc Tidecaller,Neutral,Murloc,Rare,"Whenever you summon a Murloc, gain +1 Attack.",Minion,,1,0,1,0
,EX1_130,Classic,1.0,,Neutral,,[{'name': 'Secret'}],Noble Sacrifice,Paladin,General,Common,"<b>Secret:</b> When an enemy attacks, summon a 2/1 Defender as the new target.",Spell,,0,0,0,0
,EX1_182,Classic,1.0,,Neutral,,,Pilfer,Rogue,General,Common,Add a random card to your hand <i>(from your opponent's class)</i>.,Spell,,0,0,0,0
,EX1_136,Classic,1.0,,Neutral,,[{'name': 'Secret'}],Redemption,Paladin,General,Common,"<b>Secret:</b> When a friendly minion dies, return it to life with 1 Health.",Spell,,0,0,0,0
,EX1_379,Classic,1.0,,Neutral,,[{'name': 'Secret'}],Repentance,Paladin,General,Common,"<b>Secret:</b> After your opponent plays a minion, reduce its Health to 1.",Spell,,0,0,0,0
,EX1_578,Classic,1.0,,Neutral,,[{'name': 'AffectedBySpellPower'}],Savagery,Druid,General,Rare,Deal damage equal to your hero's Attack to a minion.,Spell,,0,0,0,0
1.0,EX1_080,Classic,1.0,,Alliance,2.0,[{'name': 'Secret'}],Secretkeeper,Neutral,General,Rare,"Whenever a <b>Secret</b> is played, gain +1/+1.",Minion,,1,0,1,0
,EX1_410,Classic,1.0,,Neutral,,[{'name': 'AffectedBySpellPower'}],Shield Slam,Warrior,General,Epic,Deal 1 damage to a minion for each Armor you have.,Spell,,0,0,0,0
0.0,EX1_405,Classic,1.0,,Neutral,4.0,[{'name': 'Taunt'}],Shieldbearer,Neutral,General,Common,<b>Taunt</b>,Minion,,1,0,1,0
2.0,CS2_146,Classic,1.0,,Alliance,1.0,[{'name': 'Charge'}],Southsea Deckhand,Neutral,Pirate,Common,Has <b>Charge</b> while you have a weapon equipped.,Minion,,1,0,1,0
,EX1_180,Classic,1.0,,Neutral,,,Tome of Intellect,Mage,General,Common,Add a random Mage spell to your hand.,Spell,,0,0,0,0
